codigo,variante,fuente_anterior
"0000078","principal","public/wardrobe/imports/2026-07-18/028_DSC01963.webp"
"0000079","principal","public/wardrobe/imports/2026-07-18/029_DSC01965.webp"
"0000080","principal","public/wardrobe/imports/2026-07-18/030_DSC01966.webp"
"0000081","principal","public/wardrobe/imports/2026-07-18/031_DSC01967.webp"
"0000082","principal","public/wardrobe/imports/2026-07-18/032_DSC01969.webp"
"0000083","principal","public/wardrobe/imports/2026-07-18/033_DSC01970.webp"
"0000084","principal","public/wardrobe/imports/2026-07-18/034_DSC01971.webp"
"0000085","principal","public/wardrobe/imports/2026-07-18/035_DSC01972.webp"
"0000086","principal","public/wardrobe/imports/2026-07-18/036_DSC01973.webp"
"0000087","principal","public/wardrobe/imports/2026-07-18/037_DSC01975.webp"
"0000088","principal","public/wardrobe/imports/2026-07-18/038_DSC01976.webp"
"0000089","principal","public/wardrobe/imports/2026-07-18/039_DSC01977.webp"
"0000090","principal","public/wardrobe/imports/2026-07-18/040_DSC01980.webp"
"0000091","principal","public/wardrobe/imports/2026-07-18/041_DSC01981.webp"
"0000092","principal","public/wardrobe/imports/2026-07-18/042_DSC01982.webp"
"0000093","principal","public/wardrobe/imports/2026-07-18/043_DSC01983.webp"
"0000094","principal","public/wardrobe/imports/2026-07-18/044_DSC01984.webp"
"0000095","principal","public/wardrobe/imports/2026-07-18/045_DSC01985.webp"
"0000096","principal","public/wardrobe/imports/2026-07-18/046_DSC01986.webp"
"0000097","principal","public/wardrobe/imports/2026-07-18/047_DSC01989.webp"
"0000098","principal","public/wardrobe/imports/2026-07-18/048_DSC01992.webp"
"0000099","principal","public/wardrobe/imports/2026-07-18/049_DSC01993.webp"
"0000100","principal","public/wardrobe/imports/2026-07-18/050_DSC01994.webp"
"0000101","principal","public/wardrobe/imports/2026-07-18/051_DSC01995.webp"
"0000102","principal","public/wardrobe/imports/2026-07-18/052_DSC01996.webp"
"0000103","principal","public/wardrobe/imports/2026-07-18/053_DSC01997.webp"
"0000104","principal","public/wardrobe/imports/2026-07-18/054_DSC01998.webp"
"0000105","principal","public/wardrobe/imports/2026-07-18/055_DSC01999.webp"
"0000106","principal","public/wardrobe/imports/2026-07-18/056_DSC02000.webp"
"0000107","principal","public/wardrobe/imports/2026-07-18/057_DSC02001.webp"
"0000108","principal","public/wardrobe/imports/2026-07-18/058_DSC02003.webp"
"0000109","principal","public/wardrobe/imports/2026-07-18/059_DSC02004.webp"
"0000110","principal","public/wardrobe/imports/2026-07-18/060_DSC02005.webp"
"0000111","principal","public/wardrobe/imports/2026-07-18/061_DSC02008.webp"
"0000112","principal","public/wardrobe/imports/2026-07-18/062_DSC02009.webp"
"0000113","principal","public/wardrobe/imports/2026-07-18/063_DSC02011.webp"
"0000114","principal","public/wardrobe/imports/2026-07-18/064_DSC02013.webp"
"0000115","principal","public/wardrobe/imports/2026-07-18/065_DSC02015.webp"
"0000116","principal","public/wardrobe/imports/2026-07-18/066_DSC02017.webp"
"0000117","principal","public/wardrobe/imports/2026-07-18/067_DSC02019.webp"
"0000118","principal","public/wardrobe/imports/2026-07-18/068_DSC02022.webp"
"0000119","principal","public/wardrobe/imports/2026-07-18/069_DSC02024.webp"
"0000120","principal","public/wardrobe/imports/2026-07-18/070_DSC02026.webp"
"0000121","principal","public/wardrobe/imports/2026-07-18/071_DSC02028.webp"
"0000122","principal","public/wardrobe/imports/2026-07-18/072_DSC02029.webp"
"0000123","principal","public/wardrobe/imports/2026-07-18/073_DSC01894.webp"
"0000124","principal","public/wardrobe/imports/2026-07-18/074_DSC01896.webp"
"0000125","principal","public/wardrobe/imports/2026-07-18/075_DSC01897.webp"
"0000126","principal","public/wardrobe/imports/2026-07-18/076_DSC01898.webp"
"0000127","principal","public/wardrobe/imports/2026-07-18/077_DSC01899.webp"
"0000128","principal","public/wardrobe/imports/2026-07-18/078_DSC01900.webp"
"0000129","principal","public/wardrobe/imports/2026-07-18/079_DSC01901.webp"
"0000130","principal","public/wardrobe/imports/2026-07-18/080_DSC01903.webp"
"0000131","principal","public/wardrobe/imports/2026-07-18/081_DSC01904.webp"
"0000132","principal","public/wardrobe/imports/2026-07-18/082_DSC01905.webp"
"0000133","principal","public/wardrobe/imports/2026-07-18/083_DSC01906.webp"
"0000134","principal","public/wardrobe/imports/2026-07-18/084_DSC01908.webp"
"0000135","principal","public/wardrobe/imports/2026-07-18/085_DSC01909.webp"
"0000136","principal","public/wardrobe/imports/2026-07-18/086_DSC01910.webp"
"0000137","principal","public/wardrobe/imports/2026-07-18/087_DSC01911.webp"
"0000138","principal","public/wardrobe/imports/2026-07-18/088_DSC01912.webp"
"0000139","principal","public/wardrobe/imports/2026-07-18/089_DSC01913.webp"
"0000140","principal","public/wardrobe/imports/2026-07-18/090_DSC01914.webp"
"0000141","principal","public/wardrobe/imports/2026-07-18/091_DSC01915.webp"
"0000142","principal","public/wardrobe/imports/2026-07-18/093_DSC01917.webp"
"0000143","principal","public/wardrobe/imports/2026-07-18/094_DSC01918.webp"
"0000144","principal","public/wardrobe/imports/2026-07-18/095_DSC01919.webp"
"0000145","principal","public/wardrobe/imports/2026-07-18/096_DSC01920.webp"
"0000146","principal","public/wardrobe/imports/2026-07-18/097_DSC01922.webp"
"0000147","principal","public/wardrobe/imports/2026-07-18/098_DSC01923.webp"
"0000148","principal","public/wardrobe/imports/2026-07-18/099_DSC01924.webp"
"0000149","principal","public/wardrobe/imports/2026-07-18/100_DSC01925.webp"
"0000150","principal","public/wardrobe/imports/2026-07-18/101_DSC01926.webp"
"0000151","principal","public/wardrobe/imports/2026-07-18/103_DSC01928.webp"
"0000152","principal","public/wardrobe/imports/2026-07-18/104_DSC01930.webp"
"0000153","principal","public/wardrobe/imports/2026-07-18/105_DSC01932.webp"
"0000154","principal","public/wardrobe/imports/2026-07-18/106_DSC01968.webp"
"0000155","principal","public/wardrobe/clean/blue-straight-jeans.webp"
"0000156","principal","public/wardrobe/clean/washed-black-jeans.webp"
"0000157","principal","public/wardrobe/clean/black-wide-trousers.webp"
"0000158","principal","public/wardrobe/clean/stone-pleated-chinos.webp"
"0000159","principal","public/wardrobe/clean/basic-white-tee.webp"
"0000160","principal","public/wardrobe/clean/oversized-black-tee.webp"
"0000161","principal","public/wardrobe/clean/blue-long-sleeve-shirt.webp"
"0000162","principal","public/wardrobe/clean/black-short-sleeve-shirt.webp"
"0000163","principal","public/wardrobe/basics/white-sneakers.webp"
"0000164","principal","public/wardrobe/basics/black-leather-shoes.webp"
"0000165","principal","public/wardrobe/basics/brown-leather-shoes.webp"
"0000166","principal","public/wardrobe/basics/black-pumps.webp"
"0000167","principal","public/wardrobe/basics/black-cap.webp"
"0000168","principal","public/wardrobe/basics/black-beanie.webp"
"0000169","principal","public/wardrobe/basics/black-sunglasses.webp"
"0000170","principal","public/wardrobe/basics/black-tote.webp"
"0000171","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000171.png"
"0000172","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000172.png"
"0000173","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000173.png"
"0000174","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000174.png"
"0000175","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000175.png"
"0000176","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000176.png"
"0000177","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000177.png"
"0000178","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000178.png"
"0000179","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000179.png"
"0000180","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000180.png"
"0000181","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000181.png"
"0000182","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000182.png"
"0000183","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000183.png"
"0000184","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000184.png"
"0000185","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000185.png"
"0000186","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000186.png"
"0000187","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000187.png"
"0000188","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000188.png"
"0000189","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000189.png"
"0000190","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000190.png"
"0000191","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000191.png"
"0000192","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000192.png"
"0000193","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000193.png"
"0000194","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000194.png"
"0000195","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000195.png"
"0000196","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000196.png"
"0000197","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000197.png"
"0000198","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000198.png"
"0000199","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000199.png"
"0000200","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000200.png"
"0000201","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000201.png"
"0000202","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000202.png"
"0000203","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000203.png"
"0000204","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000204.png"
"0000205","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000205.png"
"0000206","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000206.png"
"0000207","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000207.png"
"0000208","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000208.png"
"0000209","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000209.png"
"0000210","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000210.png"
"0000211","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000211.png"
"0000212","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000212.png"
"0000213","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000213.png"
"0000214","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000214.png"
"0000215","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000215.png"
"0000216","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000216.png"
"0000217","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000217.png"
"0000218","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000218.png"
"0000219","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000219.png"
"0000220","principal","tmp/garment-pipeline/demo-women-2026-08-15/normalized/0000220.png"
